reference_id	ref_gene_id	ref_gene_name	SRR2753092	SRR2753098	SRR2753106	SRR2753116
ENST00000511125.1	ENSG00000170365.10	SMAD1	0.087336	0.218323	0.272114	0.343652
ENST00000511255.1	ENSG00000170365.10	SMAD1	0.012182	0.004156	0.036815	0.114331
ENST00000513203.2	ENSG00000249245.2	NCOA4P3	1.981865	0.782114	0.323386	2.356778
ENST00000671983.1	ENSG00000151612.18	ZNF827	1.464874	0.374208	1.080871	1.34958
ENST00000515386.1	ENSG00000151612.18	ZNF827	0.016548	0.253136	0.203269	1.024938
ENST00000623323.1	ENSG00000279481.1	RP11-181K12.1	0.030753	1.096844	2.32483	2.512085
ENST00000335472.12	ENSG00000120519.15	SLC10A7	5.232792	4.732791	8.178565	0
ENST00000394059.8	ENSG00000120519.15	SLC10A7	0.01283	0.211486	0.110374	0.35219
ENST00000511315.1	ENSG00000120519.15	SLC10A7	0.015172	0.111951	0.043512	0.506578
ENST00000579145.1	ENSG00000265623.1	MIR3139	0.340578	0.081831	0.627763	0
ENST00000475555.1	ENSG00000228981.3	RP11-364L4.1	7.892384	1.715128	0.688801	6.12809
ENST00000494591.1	ENSG00000243175.1	RPSAP36	0.103598	0.112248	0	0.238477
